building_cls6_area_ratio,building_cls6_comp1m,building_cls6_error_contribution,building_cls6_mae,building_cls6_median,building_cls6_pixels,building_cls6_rmse,ground_cls2_area_ratio,ground_cls2_comp1m,ground_cls2_error_contribution,ground_cls2_mae,ground_cls2_median,ground_cls2_pixels,ground_cls2_rmse,method,overall_area_ratio,overall_comp1m,overall_error_contribution,overall_mae,overall_median,overall_pixels,overall_rmse,phase0_error_top20_eval_only_area_ratio,phase0_error_top20_eval_only_comp1m,phase0_error_top20_eval_only_error_contribution,phase0_error_top20_eval_only_mae,phase0_error_top20_eval_only_median,phase0_error_top20_eval_only_pixels,phase0_error_top20_eval_only_rmse,scene,tree_cls5_area_ratio,tree_cls5_comp1m,tree_cls5_error_contribution,tree_cls5_mae,tree_cls5_median,tree_cls5_pixels,tree_cls5_rmse,water_cls9_area_ratio,water_cls9_comp1m,water_cls9_error_contribution,water_cls9_mae,water_cls9_median,water_cls9_pixels,water_cls9_rmse,weak_proxy_top20_area_ratio,weak_proxy_top20_comp1m,weak_proxy_top20_error_contribution,weak_proxy_top20_mae,weak_proxy_top20_median,weak_proxy_top20_pixels,weak_proxy_top20_rmse
0.43113345920090684,0.7819378564195492,0.4125242577693898,0.962053656578064,0.34546661376953125,112578,2.1973843574523926,0.47696661700897286,0.7910812069436193,0.4033182676477058,0.8502006530761719,0.3691587448120117,124546,1.8753923177719116,baseline_s1337,1.0,0.7558181839070776,1.0,1.0054523944854736,0.3858757019042969,261121,2.1689646244049072,0.20000306371375723,0.0,0.7041935827130422,3.540111541748047,2.499187469482422,52225,4.755519866943359,JAX_068,0.037798568479746934,0.3198581560283688,0.08385984079856862,2.2306952476501465,1.7774572372436523,9870,2.8858768939971924,0.0,,0.0,,,0,,0.1997541369709828,0.7934049079754601,0.18132465393994737,0.9126885533332825,0.350635290145874,52160,2.002673387527466
0.43113345920090684,0.7827373021371848,0.41816651397869287,0.9462873935699463,0.33542728424072266,112578,2.1393070220947266,0.47696661700897286,0.7961476081126652,0.40715080806253834,0.8328232765197754,0.35668182373046875,124546,1.8403594493865967,ours_s1337,1.0,0.7585487187932032,1.0,0.9756308794021606,0.3736443519592285,261121,2.0911917686462402,0.20000306371375723,0.06002872187649593,0.6776541901670907,3.3056509494781494,2.3780593872070312,52225,4.542640686035156,JAX_068,0.037798568479746934,0.3182370820668693,0.0754320220199426,1.9469999074935913,1.703740119934082,9870,2.413614273071289,0.0,,0.0,,,0,,0.1997541369709828,0.7966449386503067,0.18224948791722625,0.8901353478431702,0.3512992858886719,52160,1.9531574249267578
0.43113345920090684,0.791415729538631,0.4025274109622434,0.9183273911476135,0.33072662353515625,112578,2.140059232711792,0.47696661700897286,0.782441828721918,0.42370314621578853,0.873750627040863,0.3993349075317383,124546,1.8680996894836426,baseline_s2024,1.0,0.7566262384105453,1.0,0.9835893511772156,0.39719200134277344,261121,2.1193013191223145,0.20000306371375723,0.07356629966491145,0.668438855000577,3.2872962951660156,2.325946807861328,52225,4.599072456359863,JAX_068,0.037798568479746934,0.3579533941236069,0.06676379269028435,1.737318515777588,1.5052127838134766,9870,2.1886353492736816,0.0,,0.0,,,0,,0.1997541369709828,0.7937691717791411,0.18309922626278838,0.9015805721282959,0.3785667419433594,52160,2.016711473464966
0.43113345920090684,0.7899678445166907,0.4109904005723882,0.918438196182251,0.3432190418243408,112578,2.112381935119629,0.47696661700897286,0.7895074912080677,0.4128059134362175,0.8338499665260315,0.35985851287841797,124546,1.8197028636932373,ours_s2024,1.0,0.7586482894903129,1.0,0.9634518027305603,0.3796210289001465,261121,2.0736334323883057,0.20000306371375723,0.07915749162278603,0.6688336596078743,3.221895694732666,2.309220790863037,52225,4.4914984703063965,JAX_068,0.037798568479746934,0.343161094224924,0.0692162454909521,1.7642604112625122,1.5000033378601074,9870,2.2075576782226562,0.0,,0.0,,,0,,0.1997541369709828,0.7918711656441718,0.18257948594369527,0.880615234375,0.35875415802001953,52160,1.9405146837234497
0.43113345920090684,0.7864502833590933,0.4105354488778914,0.9430076479911804,0.34964942932128906,112578,2.127577781677246,0.47696661700897286,0.7918921522971433,0.41517880179108135,0.8620321750640869,0.4003782272338867,124546,1.8826900720596313,baseline_s3407,1.0,0.757752153216325,1.0,0.9903216361999512,0.4041271209716797,261121,2.106783390045166,0.20000306371375723,0.07707036859741503,0.6660699497196435,3.2980668544769287,2.3584794998168945,52225,4.57050085067749,JAX_068,0.037798568479746934,0.3242147922998987,0.07467888825632771,1.956585168838501,1.6519074440002441,9870,2.460466146469116,0.0,,0.0,,,0,,0.1997541369709828,0.7894555214723926,0.18764502264108487,0.9302882552146912,0.3888590335845947,52160,2.03656005859375
0.43113345920090684,0.7803034340634938,0.4094974989004411,0.948754072189331,0.34684205055236816,112578,2.1324422359466553,0.47696661700897286,0.7950395837682462,0.4008099055307901,0.8393915295600891,0.3614511489868164,124546,1.8483028411865234,ours_s3407,1.0,0.7553547972012975,1.0,0.9988818764686584,0.3836793899536133,261121,2.1270432472229004,0.20000306371375723,0.07484921014839636,0.6740556463650939,3.3664581775665283,2.422039031982422,52225,4.603330612182617,JAX_068,0.037798568479746934,0.31691995947315094,0.0863744977103656,2.2825710773468018,1.814882755279541,9870,2.957709789276123,0.0,,0.0,,,0,,0.1997541369709828,0.7881134969325153,0.18716940598900453,0.9359512329101562,0.3720121383666992,52160,2.0571858882904053
0.43113345920090684,0.786494697010073,0.40734411872687043,0.9450551867485046,0.36670970916748047,112578,2.1285977363586426,0.47696661700897286,0.8004753263854318,0.3983244016064007,0.8353267312049866,0.37885379791259766,124546,1.8426766395568848,baseline_s5150,1.0,0.7617732775226811,1.0,1.0002474784851074,0.39855098724365234,261121,2.1541407108306885,0.20000306371375723,0.07961704164672091,0.6771057627301562,3.386314630508423,2.373668670654297,52225,4.680807113647461,JAX_068,0.037798568479746934,0.33181357649442755,0.08574163973070156,2.268944501876831,1.6799330711364746,9870,3.1090898513793945,0.0,,0.0,,,0,,0.1997541369709828,0.7962231595092024,0.18041037506911842,0.9033856391906738,0.3714442253112793,52160,1.9971368312835693
0.43113345920090684,0.7823908756595427,0.40478901544556173,0.932884931564331,0.34261512756347656,112578,2.1114444732666016,0.47696661700897286,0.7960432290077561,0.40547228296447346,0.8446645736694336,0.37941932678222656,124546,1.8373841047286987,ours_s5150,1.0,0.7578364053446487,1.0,0.9935988783836365,0.3906993865966797,261121,2.1198151111602783,0.20000306371375723,0.0767065581617999,0.6717262569731469,3.33708119392395,2.3590874671936035,52225,4.597052097320557,JAX_068,0.037798568479746934,0.3293819655521783,0.08373049581535907,2.2009966373443604,1.6709332466125488,9870,2.9336695671081543,0.0,,0.0,,,0,,0.1997541369709828,0.7894555214723926,0.18250075129014132,0.9077786207199097,0.3585848808288574,52160,1.9972031116485596
0.43113345920090684,0.7786956598980262,0.418813661347996,0.9567767977714539,0.34879350662231445,112578,2.1330530643463135,0.47696661700897286,0.7901337658375219,0.40564651277856434,0.8376474380493164,0.37476062774658203,124546,1.7743933200836182,baseline_s6001,1.0,0.7549373662018758,1.0,0.9849212765693665,0.38941001892089844,261121,2.0785610675811768,0.20000306371375723,0.07714696026807084,0.6616871262701892,3.2584986686706543,2.3477954864501953,52225,4.47063684463501,JAX_068,0.037798568479746934,0.37659574468085105,0.06468756333631272,1.6855705976486206,1.4042277336120605,9870,2.1282434463500977,0.0,,0.0,,,0,,0.1997541369709828,0.7894363496932515,0.18574321472158267,0.9158380627632141,0.373873233795166,52160,1.9863810539245605
0.43113345920090684,0.7762529090941391,0.4303573519386098,0.992228627204895,0.35942506790161133,112578,2.214099884033203,0.47696661700897286,0.7919082106209754,0.39804644596980154,0.8295451402664185,0.36086463928222656,124546,1.8149011135101318,ours_s6001,1.0,0.7548837512111244,1.0,0.994018018245697,0.38648414611816406,261121,2.1217827796936035,0.20000306371375723,0.07071325993298229,0.6659941517387515,3.31000018119812,2.367891311645508,52225,4.570864677429199,JAX_068,0.037798568479746934,0.3698074974670719,0.06579888362321305,1.7303638458251953,1.441171407699585,9870,2.187511444091797,0.0,,0.0,,,0,,0.1997541369709828,0.7875191717791411,0.18867140928648504,0.9388681054115295,0.3693122863769531,52160,2.0609514713287354
